Ground Name,City,Country,Batting First Elo Boost,Adj 1st Innings Score,Adj 2nd Innings Score,Matches Completed,Batting First Wins,Batting Second Wins,Batting First Win %,Batting Second Win %
MA Aziz Stadium,Chattogram,Bangladesh,0.6374388422368993,233.5765625,196.01305147187497,5,4,1,0.8,0.2
Chittagong Divisional Stadium,Chattogram,Bangladesh,-0.09047448107211575,203.78437499999998,222.06427716984373,5,2,3,0.4,0.6
Jaffery Sports Club Ground,Nairobi,Kenya,-0.23120518351907704,269.431503371875,237.79185830562506,5,2,3,0.4,0.6
Albion Sports Complex,Albion,West Indies,0.36617286820770856,237.13350694687497,201.89608678734373,5,2,3,0.4,0.6
AMI Stadium,Christchurch,New Zealand,0.4374352974137278,296.1370565953125,281.8011010285938,5,2,3,0.4,0.6
Madhavrao Scindia Cricket Ground,Rajkot,India,-0.07782692110299974,326.1400690179687,305.0606611570313,5,3,2,0.6,0.4
Greater Noida Sports Complex Ground,Greater Noida,India,-0.07304349349201719,255.621875,257.939153789375,5,2,3,0.4,0.6
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,-0.10879586746075781,221.24375,206.9940380296875,5,2,3,0.4,0.6
Tyronne Fernando Stadium,Moratuwa,Sri Lanka,-0.9706744113018182,171.7383331046875,209.79725491359375,5,1,4,0.2,0.8
North West Cricket Stadium,Potchefstroom,South Africa,-0.17587613004788127,256.29479166375,166.76627602999997,5,3,2,0.6,0.4
Arun Jaitley Stadium,Delhi,India,1.3530744724612782,329.3828125,237.21399456640623,5,3,2,0.6,0.4
The Royal & Sun Alliance County Ground,Bristol,England,-0.5618525146982526,218.40625000000006,258.24395742218746,5,1,4,0.2,0.8
Holkar Cricket Stadium,Indore,India,0.6311137135618848,372.17542614,294.7057234025,5,4,1,0.8,0.2
Sector 16 Stadium,Chandigarh,India,0.6770533583430676,239.69947916484372,253.25826151375003,5,3,2,0.6,0.4
WestpacTrust Stadium,Wellington,New Zealand,0.044596060383766456,229.9015625,186.0409608875,5,2,3,0.4,0.6
Asgiriya Stadium,Kandy,Sri Lanka,-0.5260825207653893,233.77836888218746,246.88630092484374,5,1,4,0.2,0.8
JSCA International Stadium Complex,Ranchi,India,0.2641332501302982,277.8359375,282.5579888089062,5,2,3,0.4,0.6
Sedgars Park,Potchefstroom,South Africa,0.12694596746813647,266.5890625,240.3740116825,5,3,2,0.6,0.4
Windsor Park,Roseau,West Indies,0.5632770321967054,267.0625,244.22640307031253,4,2,2,0.5,0.5
Aga Khan Sports Club Ground,Nairobi,Kenya,-0.5109738732210324,189.71739131249998,225.005123646875,4,1,3,0.25,0.75
Mission Road Ground,Mong Kok,Hong Kong,0.7496954317980633,233.4292763,209.6653451375,4,3,1,0.75,0.25
Saurashtra Cricket Association Stadium,Rajkot,India,1.1742627713280178,326.921875,286.00000000000006,4,4,0,1.0,0.0
Rajiv Gandhi International Cricket Stadium,Dehra Dun,India,-0.3693629430707047,223.26562500000003,199.96500452812498,4,1,3,0.25,0.75
Chittagong Stadium,Chattogram,Bangladesh,0.05857962275871828,207.05208334374996,160.729501046875,4,2,2,0.5,0.5
St Lawrence Ground,Canterbury,England,0.43137634081210036,254.60937499999997,233.52687484218748,4,2,2,0.5,0.5
The Wanderers Stadium,Johannesburg,South Africa,0.43362351508848135,305.859375,228.89704241406253,4,3,1,0.75,0.25
Narayanganj Osmani Stadium,Fatullah,Bangladesh,-0.09265341436760599,197.04687499999997,245.6509678390625,4,2,2,0.5,0.5
The Padang,Singapore,Singapore,0.4016337564265918,229.39874115625,238.96428571874998,4,3,1,0.75,0.25
Jinnah Stadium,Gujranwala,Pakistan,0.3661496127451456,243.67420126562502,246.21416179843746,4,2,2,0.5,0.5
Marrara Cricket Ground,Darwin,Australia,0.02409608504661646,190.1875,188.3408642625,4,3,1,0.75,0.25
Malahide,Dublin,Ireland,-0.09329234192523922,276.0,232.36349695,3,2,1,0.6666666666666666,0.3333333333333333
County Ground,Southampton,England,0.5997247697838557,224.3333333375,206.8233082625,3,2,1,0.6666666666666666,0.3333333333333333
The Cooper Associates County Ground,Taunton,England,-0.6763976413087268,297.125,327.3398932375,3,1,2,0.3333333333333333,0.6666666666666666
Cazaly's Stadium,Cairns,Australia,0.21494518651985883,235.62500000000003,184.1111111125,3,2,1,0.6666666666666666,0.3333333333333333
Castle Avenue,Dublin,Ireland,-0.07883743185883418,291.5,304.0552325375,3,1,2,0.3333333333333333,0.6666666666666666
West End Park International Cricket Stadium,Doha,Qatar,0.54531223822044,243.62500000000003,183.62500000000003,3,3,0,1.0,0.0
Sportpark Maarschalkerweerd,Utrecht,Netherlands,-0.46429174745471713,164.75,183.690803375,3,1,2,0.3333333333333333,0.6666666666666666
Riverway Stadium,Townsville,Australia,-0.614770029460874,131.5,256.3665501375,3,0,3,0.0,1.0
Reliance Stadium,Vadodara,India,-0.39167151696771785,240.00000000000003,288.98509595,3,1,2,0.3333333333333333,0.6666666666666666
Moti Bagh Stadium,Vadodara,India,-0.20065111649992826,268.76684861250004,250.255130025,3,1,2,0.3333333333333333,0.6666666666666666
Punjab Cricket Association IS Bindra Stadium,Chandigarh,India,-0.2984698969660057,321.25,316.44731155,3,1,2,0.3333333333333333,0.6666666666666666
County Ground,Worcester,England,-0.8493831241393799,188.97916666249998,211.8167207875,3,0,3,0.0,1.0
Grace Road,Leicester,England,-0.5206848696541464,144.6458333375,299.79237942500004,3,1,2,0.3333333333333333,0.6666666666666666
County Ground,Taunton,England,0.5829563758771186,307.0625,243.43191057500002,3,2,1,0.6666666666666666,0.3333333333333333
Darren Sammy National Cricket Stadium,Gros Islet,West Indies,-0.4802525914334832,133.62500000000003,320.71026814999993,3,1,2,0.3333333333333333,0.6666666666666666
Owen Delany Park,Taupo,New Zealand,0.19806717703543003,280.3960090125,256.9737413875,3,1,2,0.3333333333333333,0.6666666666666666
Tony Ireland Stadium,Townsville,Australia,-0.5333914590350678,246.25,265.739778275,2,0,2,0.0,1.0
Perth Stadium,Perth,Australia,-0.260384378644356,178.75,257.346590875,2,1,1,0.5,0.5
Mindoo Phillip Park,Castries,West Indies,-0.0928326654182169,221.309523825,237.2,2,0,2,0.0,1.0
Bert Sutcliffe Oval,Lincoln,New Zealand,-0.27087052444226833,280.0,276.224299075,2,1,1,0.5,0.5
Ayub National Stadium,Quetta,Pakistan,0.3363602117468023,239.68749999999997,195.31250000000003,2,2,0,1.0,0.0
Sheikhupura Stadium,Sheikhupura,Pakistan,-0.5788255614022043,188.49999999999997,291.373611825,2,0,2,0.0,1.0
St Helen's,Swansea,England,0.2695315945613846,247.15909092500002,223.681318675,2,1,1,0.5,0.5
WestpacTrust Park,Hamilton,New Zealand,0.035391237317271576,245.87096772499999,239.5,2,1,1,0.5,0.5
Diamond Oval,Kimberley,South Africa,0.39965314342929686,288.75,272.09713375,2,1,1,0.5,0.5
Sportpark Het Schootsveld,Deventer,Netherlands,-0.2119159773211412,272.0212766,282.1368243,2,0,2,0.0,1.0
Barsapara Cricket Stadium,Guwahati,India,0.02656376466438113,360.25,326.1403162,2,1,1,0.5,0.5
Greenfield International Stadium,Thiruvananthapuram,India,0.02092183386075784,318.49999999999994,212.91496424999997,2,1,1,0.5,0.5
County Ground,Northampton,England,1.5605914238913878,217.0,150.714285725,2,2,0,1.0,0.0
County Ground,Derby,England,-0.2971156831790809,239.45833332499998,198.78312302499998,2,1,1,0.5,0.5
Sheikh Abu Naser Stadium,Khulna,Bangladesh,0.17697732802195681,268.75,161.29338842500002,2,1,1,0.5,0.5
Gandhi Stadium,Jalandhar,India,-0.15418940038209814,215.49999999999997,219.28803182500002,2,0,2,0.0,1.0
Zafar Ali Stadium,Sahiwal,Pakistan,-0.056968719396736575,247.90178572500002,238.975979775,2,1,1,0.5,0.5
Maharani Usharaje Trust Cricket Ground,Indore,India,0.09501316608523122,291.0,251.974576275,2,1,1,0.5,0.5
Khulna Divisional Stadium,Khulna,Bangladesh,-0.5960697232041463,178.25000000000003,238.261738275,2,0,2,0.0,1.0
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India,-0.027920385321862723,295.648936175,315.048780475,2,1,1,0.5,0.5
Sher-i-Kashmir Stadium,Srinagar,India,-0.6261192364421628,226.0165485,243.79795395000002,2,0,2,0.0,1.0
Bundaberg Rum Stadium,Cairns,Australia,-0.03581016596346452,136.5,332.3952641,2,0,2,0.0,1.0
Moin-ul-Haq Stadium,Patna,India,-0.1520900307724412,166.25,173.3582677,2,1,1,0.5,0.5
